current_time: 2026-05-14 00:14:41.441256,total_time: 0:07:21.391356, Epoch 30,epoch_time: 16.795s, Loss 6.4830
current_time: 2026-05-14 00:17:30.994251,total_time: 0:10:10.944351, Epoch 40,epoch_time: 11.913s, Loss 6.4533
current_time: 2026-05-14 00:20:05.822587,total_time: 0:12:45.772687, Epoch 50,epoch_time: 8.403s, Loss 6.5046
current_time: 2026-05-14 00:22:07.616173,total_time: 0:14:47.566273, Epoch 60,epoch_time: 8.834s, Loss 6.4076
current_time: 2026-05-14 00:24:51.238955,total_time: 0:17:31.189055, Epoch 70,epoch_time: 14.317s, Loss 6.4608
current_time: 2026-05-14 00:27:44.306132,total_time: 0:20:24.256232, Epoch 80,epoch_time: 25.412s, Loss 6.4418
current_time: 2026-05-14 00:31:00.648231,total_time: 0:23:40.598331, Epoch 90,epoch_time: 15.587s, Loss 6.4619
current_time: 2026-05-14 00:33:30.654038,total_time: 0:26:10.604138, Epoch 100,epoch_time: 21.557s, Loss 6.4543
current_time: 2026-05-14 00:35:50.579754,total_time: 0:28:30.529854, Epoch 110,epoch_time: 12.092s, Loss 6.4253
current_time: 2026-05-14 00:38:09.591371,total_time: 0:30:49.541471, Epoch 120,epoch_time: 18.788s, Loss 6.3967
current_time: 2026-05-14 00:40:27.833171,total_time: 0:33:07.783271, Epoch 130,epoch_time: 15.809s, Loss 6.4173
current_time: 2026-05-14 00:42:52.002695,total_time: 0:35:31.952795, Epoch 140,epoch_time: 17.373s, Loss 6.3911
current_time: 2026-05-14 00:45:02.907900,total_time: 0:37:42.858000, Epoch 150,epoch_time: 14.818s, Loss 6.4014
current_time: 2026-05-14 00:47:05.735147,total_time: 0:39:45.685247, Epoch 160,epoch_time: 9.187s, Loss 6.4352
current_time: 2026-05-14 00:49:22.552419,total_time: 0:42:02.502519, Epoch 170,epoch_time: 17.653s, Loss 6.3901
current_time: 2026-05-14 00:51:44.533936,total_time: 0:44:24.484036, Epoch 180,epoch_time: 15.739s, Loss 6.4071
current_time: 2026-05-14 00:54:06.282871,total_time: 0:46:46.232971, Epoch 190,epoch_time: 13.063s, Loss 6.3692
current_time: 2026-05-14 00:56:33.164248,total_time: 0:49:13.114348, Epoch 200,epoch_time: 20.914s, Loss 6.3716
current_time: 2026-05-14 00:58:57.051050,total_time: 0:51:37.001150, Epoch 210,epoch_time: 18.278s, Loss 6.3982
current_time: 2026-05-14 01:01:32.191068,total_time: 0:54:12.141168, Epoch 220,epoch_time: 17.229s, Loss 6.3577
current_time: 2026-05-14 01:03:41.089293,total_time: 0:56:21.039393, Epoch 230,epoch_time: 6.817s, Loss 6.3425
current_time: 2026-05-14 01:05:34.448222,total_time: 0:58:14.398322, Epoch 240,epoch_time: 13.965s, Loss 6.3577
current_time: 2026-05-14 01:07:59.772567,total_time: 1:00:39.722667, Epoch 250,epoch_time: 9.955s, Loss 6.3537
current_time: 2026-05-14 01:10:15.005079,total_time: 1:02:54.955179, Epoch 260,epoch_time: 15.182s, Loss 6.3523
current_time: 2026-05-14 01:12:25.228619,total_time: 1:05:05.178719, Epoch 270,epoch_time: 17.069s, Loss 6.3825
current_time: 2026-05-14 01:14:55.788009,total_time: 1:07:35.738109, Epoch 280,epoch_time: 16.671s, Loss 6.3295
current_time: 2026-05-14 01:16:53.940557,total_time: 1:09:33.890657, Epoch 290,epoch_time: 11.352s, Loss 6.3267
current_time: 2026-05-14 01:19:03.698151,total_time: 1:11:43.648251, Epoch 300,epoch_time: 17.881s, Loss 6.3596
current_time: 2026-05-14 01:21:29.233598,total_time: 1:14:09.183698, Epoch 310,epoch_time: 16.272s, Loss 6.2862
current_time: 2026-05-14 01:23:43.020701,total_time: 1:16:22.970801, Epoch 320,epoch_time: 16.313s, Loss 6.3201
current_time: 2026-05-14 01:26:15.485806,total_time: 1:18:55.435906, Epoch 330,epoch_time: 14.968s, Loss 6.2880
current_time: 2026-05-14 01:28:25.685655,total_time: 1:21:05.635755, Epoch 340,epoch_time: 18.200s, Loss 6.3017
current_time: 2026-05-14 01:30:27.567051,total_time: 1:23:07.517151, Epoch 350,epoch_time: 11.222s, Loss 6.2806
current_time: 2026-05-14 01:32:29.048148,total_time: 1:25:08.998248, Epoch 360,epoch_time: 11.243s, Loss 6.2713
current_time: 2026-05-14 01:34:32.280472,total_time: 1:27:12.230572, Epoch 370,epoch_time: 12.869s, Loss 6.2861
current_time: 2026-05-14 01:36:44.026788,total_time: 1:29:23.976888, Epoch 380,epoch_time: 17.703s, Loss 6.2924
current_time: 2026-05-14 01:38:58.135699,total_time: 1:31:38.085799, Epoch 390,epoch_time: 13.872s, Loss 6.2648
current_time: 2026-05-14 01:41:08.395674,total_time: 1:33:48.345774, Epoch 400,epoch_time: 16.088s, Loss 6.2782
current_time: 2026-05-14 01:43:08.279113,total_time: 1:35:48.229213, Epoch 410,epoch_time: 10.884s, Loss 6.2798
current_time: 2026-05-14 01:45:20.712271,total_time: 1:38:00.662371, Epoch 420,epoch_time: 8.079s, Loss 6.2467
current_time: 2026-05-14 01:47:42.913510,total_time: 1:40:22.863610, Epoch 430,epoch_time: 13.947s, Loss 6.2472
current_time: 2026-05-14 01:50:04.819518,total_time: 1:42:44.769618, Epoch 440,epoch_time: 14.773s, Loss 6.2210
current_time: 2026-05-14 01:51:42.118893,total_time: 1:44:22.068993, Epoch 450,epoch_time: 5.950s, Loss 6.2484
current_time: 2026-05-14 01:54:00.401394,total_time: 1:46:40.351494, Epoch 460,epoch_time: 8.466s, Loss 6.2714
current_time: 2026-05-14 01:56:12.398436,total_time: 1:48:52.348536, Epoch 470,epoch_time: 21.671s, Loss 6.2183
current_time: 2026-05-14 01:58:23.778183,total_time: 1:51:03.728283, Epoch 480,epoch_time: 6.162s, Loss 6.2099
current_time: 2026-05-14 02:00:35.895290,total_time: 1:53:15.845390, Epoch 490,epoch_time: 14.033s, Loss 6.2396
current_time: 2026-05-14 02:02:54.683706,total_time: 1:55:34.633806, Epoch 500,epoch_time: 16.842s, Loss 6.2330
current_time: 2026-05-14 02:04:58.747922,total_time: 1:57:38.698022, Epoch 510,epoch_time: 8.080s, Loss 6.2426
current_time: 2026-05-14 02:07:05.610954,total_time: 1:59:45.561054, Epoch 520,epoch_time: 14.264s, Loss 6.2240
current_time: 2026-05-14 02:09:16.741581,total_time: 2:01:56.691681, Epoch 530,epoch_time: 10.194s, Loss 6.1945
current_time: 2026-05-14 02:11:23.262253,total_time: 2:04:03.212353, Epoch 540,epoch_time: 20.504s, Loss 6.2155
current_time: 2026-05-14 02:14:03.691459,total_time: 2:06:43.641559, Epoch 550,epoch_time: 14.511s, Loss 6.2384
current_time: 2026-05-14 02:16:08.240466,total_time: 2:08:48.190566, Epoch 560,epoch_time: 12.442s, Loss 6.1848
current_time: 2026-05-14 02:18:12.454289,total_time: 2:10:52.404389, Epoch 570,epoch_time: 12.034s, Loss 6.2443
current_time: 2026-05-14 02:20:25.468958,total_time: 2:13:05.419058, Epoch 580,epoch_time: 14.353s, Loss 6.2018
current_time: 2026-05-14 02:22:40.340054,total_time: 2:15:20.290154, Epoch 590,epoch_time: 9.533s, Loss 6.2379
current_time: 2026-05-14 02:24:54.516302,total_time: 2:17:34.466402, Epoch 600,epoch_time: 16.503s, Loss 6.2050
current_time: 2026-05-14 02:27:10.813218,total_time: 2:19:50.763318, Epoch 610,epoch_time: 9.152s, Loss 6.2140
current_time: 2026-05-14 02:29:24.209463,total_time: 2:22:04.159563, Epoch 620,epoch_time: 12.500s, Loss 6.1638
current_time: 2026-05-14 02:31:38.260551,total_time: 2:24:18.210651, Epoch 630,epoch_time: 12.905s, Loss 6.1898
current_time: 2026-05-14 02:34:03.631821,total_time: 2:26:43.581921, Epoch 640,epoch_time: 15.042s, Loss 6.1529
current_time: 2026-05-14 02:36:13.833014,total_time: 2:28:53.783114, Epoch 650,epoch_time: 16.197s, Loss 6.1661
current_time: 2026-05-14 02:38:30.770301,total_time: 2:31:10.720401, Epoch 660,epoch_time: 5.797s, Loss 6.1601
current_time: 2026-05-14 02:40:41.543243,total_time: 2:33:21.493343, Epoch 670,epoch_time: 13.287s, Loss 6.1609
current_time: 2026-05-14 02:42:57.839498,total_time: 2:35:37.789598, Epoch 680,epoch_time: 18.625s, Loss 6.1421
current_time: 2026-05-14 02:45:09.645195,total_time: 2:37:49.595295, Epoch 690,epoch_time: 11.785s, Loss 6.1864
current_time: 2026-05-14 02:47:33.355609,total_time: 2:40:13.305709, Epoch 700,epoch_time: 16.428s, Loss 6.1722
current_time: 2026-05-14 02:49:49.672640,total_time: 2:42:29.622740, Epoch 710,epoch_time: 10.761s, Loss 6.1785
current_time: 2026-05-14 02:52:26.699976,total_time: 2:45:06.650076, Epoch 720,epoch_time: 17.976s, Loss 6.1695
current_time: 2026-05-14 02:54:43.783032,total_time: 2:47:23.733132, Epoch 730,epoch_time: 13.340s, Loss 6.1350
current_time: 2026-05-14 02:56:59.554336,total_time: 2:49:39.504436, Epoch 740,epoch_time: 14.223s, Loss 6.0959
current_time: 2026-05-14 02:59:11.860189,total_time: 2:51:51.810289, Epoch 750,epoch_time: 17.091s, Loss 6.1272
current_time: 2026-05-14 03:01:34.567400,total_time: 2:54:14.517500, Epoch 760,epoch_time: 18.992s, Loss 6.1213
current_time: 2026-05-14 03:04:15.060011,total_time: 2:56:55.010111, Epoch 770,epoch_time: 13.720s, Loss 6.1292
current_time: 2026-05-14 03:06:29.961977,total_time: 2:59:09.912077, Epoch 780,epoch_time: 16.637s, Loss 6.1707
current_time: 2026-05-14 03:08:46.076382,total_time: 3:01:26.026482, Epoch 790,epoch_time: 19.544s, Loss 6.1781
current_time: 2026-05-14 03:10:54.554456,total_time: 3:03:34.504556, Epoch 800,epoch_time: 10.150s, Loss 6.1587
current_time: 2026-05-14 03:12:54.056769,total_time: 3:05:34.006869, Epoch 810,epoch_time: 11.375s, Loss 6.0747
current_time: 2026-05-14 03:15:02.653837,total_time: 3:07:42.603937, Epoch 820,epoch_time: 17.959s, Loss 6.1107
current_time: 2026-05-14 03:17:20.014942,total_time: 3:09:59.965042, Epoch 830,epoch_time: 13.110s, Loss 6.1541
current_time: 2026-05-14 03:19:41.099432,total_time: 3:12:21.049532, Epoch 840,epoch_time: 15.831s, Loss 6.1914
current_time: 2026-05-14 03:21:49.569686,total_time: 3:14:29.519786, Epoch 850,epoch_time: 9.693s, Loss 6.1339
current_time: 2026-05-14 03:24:16.224000,total_time: 3:16:56.174100, Epoch 860,epoch_time: 9.012s, Loss 6.0810
current_time: 2026-05-14 03:26:09.634562,total_time: 3:18:49.584662, Epoch 870,epoch_time: 12.505s, Loss 6.1290
current_time: 2026-05-14 03:28:11.373225,total_time: 3:20:51.323325, Epoch 880,epoch_time: 13.669s, Loss 6.1512
current_time: 2026-05-14 03:30:21.192618,total_time: 3:23:01.142718, Epoch 890,epoch_time: 13.592s, Loss 6.0872
current_time: 2026-05-14 03:32:52.504477,total_time: 3:25:32.454577, Epoch 900,epoch_time: 15.571s, Loss 6.1632
current_time: 2026-05-14 03:35:13.507187,total_time: 3:27:53.457287, Epoch 910,epoch_time: 11.770s, Loss 6.1657
current_time: 2026-05-14 03:37:39.775760,total_time: 3:30:19.725860, Epoch 920,epoch_time: 15.105s, Loss 6.0901
current_time: 2026-05-14 03:39:42.336532,total_time: 3:32:22.286632, Epoch 930,epoch_time: 13.158s, Loss 6.0902
current_time: 2026-05-14 03:42:08.727570,total_time: 3:34:48.677670, Epoch 940,epoch_time: 20.297s, Loss 6.0479
current_time: 2026-05-14 03:44:13.341798,total_time: 3:36:53.291898, Epoch 950,epoch_time: 7.524s, Loss 6.1010
current_time: 2026-05-14 03:46:38.784102,total_time: 3:39:18.734202, Epoch 960,epoch_time: 14.477s, Loss 6.0079
current_time: 2026-05-14 03:48:36.192218,total_time: 3:41:16.142318, Epoch 970,epoch_time: 13.594s, Loss 6.1039
current_time: 2026-05-14 03:50:20.937178,total_time: 3:43:00.887278, Epoch 980,epoch_time: 13.315s, Loss 6.1159
current_time: 2026-05-14 03:52:47.469239,total_time: 3:45:27.419339, Epoch 990,epoch_time: 13.315s, Loss 6.0802
current_time: 2026-05-14 03:54:55.644096,total_time: 3:47:35.594196, Epoch 1000,epoch_time: 12.485s, Loss 6.0598
