current_time: 2026-05-14 23:46:25.888201,total_time: 0:08:18.466618, Epoch 40,epoch_time: 13.663s, Loss 6.2553
current_time: 2026-05-14 23:48:27.151112,total_time: 0:10:19.729529, Epoch 50,epoch_time: 11.671s, Loss 5.7607
current_time: 2026-05-14 23:50:50.155834,total_time: 0:12:42.734251, Epoch 60,epoch_time: 10.440s, Loss 6.5039
current_time: 2026-05-14 23:52:41.622350,total_time: 0:14:34.200767, Epoch 70,epoch_time: 8.493s, Loss 6.0188
current_time: 2026-05-14 23:54:32.457228,total_time: 0:16:25.035645, Epoch 80,epoch_time: 9.059s, Loss 5.7127
current_time: 2026-05-14 23:56:36.050132,total_time: 0:18:28.628549, Epoch 90,epoch_time: 16.782s, Loss 6.9379
current_time: 2026-05-14 23:58:23.740715,total_time: 0:20:16.319132, Epoch 100,epoch_time: 14.585s, Loss 6.8826
current_time: 2026-05-15 00:00:28.151805,total_time: 0:22:20.730222, Epoch 110,epoch_time: 14.535s, Loss 5.8881
current_time: 2026-05-15 00:02:46.626243,total_time: 0:24:39.204660, Epoch 120,epoch_time: 16.268s, Loss 6.1678
current_time: 2026-05-15 00:04:32.734607,total_time: 0:26:25.313024, Epoch 130,epoch_time: 12.935s, Loss 6.0564
current_time: 2026-05-15 00:06:36.913089,total_time: 0:28:29.491506, Epoch 140,epoch_time: 15.074s, Loss 5.9955
current_time: 2026-05-15 00:08:26.471535,total_time: 0:30:19.049952, Epoch 150,epoch_time: 7.282s, Loss 6.0400
current_time: 2026-05-15 00:10:26.517203,total_time: 0:32:19.095620, Epoch 160,epoch_time: 12.667s, Loss 5.9534
current_time: 2026-05-15 00:12:22.086716,total_time: 0:34:14.665133, Epoch 170,epoch_time: 10.218s, Loss 6.1314
current_time: 2026-05-15 00:14:24.777793,total_time: 0:36:17.356210, Epoch 180,epoch_time: 11.058s, Loss 6.3877
current_time: 2026-05-15 00:16:33.464674,total_time: 0:38:26.043091, Epoch 190,epoch_time: 8.721s, Loss 6.5823
current_time: 2026-05-15 00:18:18.086909,total_time: 0:40:10.665326, Epoch 200,epoch_time: 9.876s, Loss 5.9931
current_time: 2026-05-15 00:20:09.528221,total_time: 0:42:02.106638, Epoch 210,epoch_time: 15.065s, Loss 5.8911
current_time: 2026-05-15 00:22:10.070286,total_time: 0:44:02.648703, Epoch 220,epoch_time: 7.680s, Loss 6.0771
current_time: 2026-05-15 00:24:15.523498,total_time: 0:46:08.101915, Epoch 230,epoch_time: 10.061s, Loss 6.3645
current_time: 2026-05-15 00:26:03.387143,total_time: 0:47:55.965560, Epoch 240,epoch_time: 13.248s, Loss 5.8206
current_time: 2026-05-15 00:27:47.460820,total_time: 0:49:40.039237, Epoch 250,epoch_time: 10.607s, Loss 6.6083
current_time: 2026-05-15 00:29:41.917194,total_time: 0:51:34.495611, Epoch 260,epoch_time: 7.205s, Loss 6.0648
current_time: 2026-05-15 00:31:22.703110,total_time: 0:53:15.281527, Epoch 270,epoch_time: 10.120s, Loss 5.8153
current_time: 2026-05-15 00:33:03.726653,total_time: 0:54:56.305070, Epoch 280,epoch_time: 14.446s, Loss 6.5669
current_time: 2026-05-15 00:34:57.637356,total_time: 0:56:50.215773, Epoch 290,epoch_time: 11.842s, Loss 5.9023
current_time: 2026-05-15 00:36:43.168720,total_time: 0:58:35.747137, Epoch 300,epoch_time: 10.907s, Loss 6.7836
current_time: 2026-05-15 00:38:55.743158,total_time: 1:00:48.321575, Epoch 310,epoch_time: 9.051s, Loss 6.4211
current_time: 2026-05-15 00:40:44.421174,total_time: 1:02:36.999591, Epoch 320,epoch_time: 8.967s, Loss 6.3341
current_time: 2026-05-15 00:42:32.156306,total_time: 1:04:24.734723, Epoch 330,epoch_time: 9.675s, Loss 5.9885
current_time: 2026-05-15 00:44:29.306019,total_time: 1:06:21.884436, Epoch 340,epoch_time: 12.788s, Loss 6.7144
current_time: 2026-05-15 00:46:26.349487,total_time: 1:08:18.927904, Epoch 350,epoch_time: 13.800s, Loss 5.9978
current_time: 2026-05-15 00:48:14.622210,total_time: 1:10:07.200627, Epoch 360,epoch_time: 6.911s, Loss 6.6197
current_time: 2026-05-15 00:49:59.539079,total_time: 1:11:52.117496, Epoch 370,epoch_time: 10.952s, Loss 6.3225
current_time: 2026-05-15 00:51:43.488433,total_time: 1:13:36.066850, Epoch 380,epoch_time: 8.285s, Loss 6.0735
current_time: 2026-05-15 00:53:24.960190,total_time: 1:15:17.538607, Epoch 390,epoch_time: 9.324s, Loss 6.0411
current_time: 2026-05-15 00:55:02.006012,total_time: 1:16:54.584429, Epoch 400,epoch_time: 8.754s, Loss 6.5889
current_time: 2026-05-15 00:56:54.376565,total_time: 1:18:46.954982, Epoch 410,epoch_time: 8.695s, Loss 6.3207
current_time: 2026-05-15 00:58:39.736407,total_time: 1:20:32.314824, Epoch 420,epoch_time: 7.409s, Loss 6.4965
current_time: 2026-05-15 01:00:14.302293,total_time: 1:22:06.880710, Epoch 430,epoch_time: 9.326s, Loss 6.2829
current_time: 2026-05-15 01:02:01.193767,total_time: 1:23:53.772184, Epoch 440,epoch_time: 12.936s, Loss 5.8825
current_time: 2026-05-15 01:03:40.574807,total_time: 1:25:33.153224, Epoch 450,epoch_time: 12.723s, Loss 6.3441
current_time: 2026-05-15 01:05:22.989693,total_time: 1:27:15.568110, Epoch 460,epoch_time: 7.121s, Loss 6.0908
current_time: 2026-05-15 01:07:05.232389,total_time: 1:28:57.810806, Epoch 470,epoch_time: 6.662s, Loss 5.9551
current_time: 2026-05-15 01:09:00.563400,total_time: 1:30:53.141817, Epoch 480,epoch_time: 13.330s, Loss 6.2199
current_time: 2026-05-15 01:10:39.033501,total_time: 1:32:31.611918, Epoch 490,epoch_time: 8.192s, Loss 6.1767
current_time: 2026-05-15 01:12:18.732409,total_time: 1:34:11.310826, Epoch 500,epoch_time: 7.775s, Loss 6.1895
current_time: 2026-05-15 01:13:54.330245,total_time: 1:35:46.908662, Epoch 510,epoch_time: 10.334s, Loss 6.2391
current_time: 2026-05-15 01:15:38.766472,total_time: 1:37:31.344889, Epoch 520,epoch_time: 12.130s, Loss 5.8566
current_time: 2026-05-15 01:17:25.628877,total_time: 1:39:18.207294, Epoch 530,epoch_time: 12.342s, Loss 6.3422
current_time: 2026-05-15 01:19:27.346276,total_time: 1:41:19.924693, Epoch 540,epoch_time: 8.987s, Loss 6.6922
current_time: 2026-05-15 01:20:59.426302,total_time: 1:42:52.004719, Epoch 550,epoch_time: 9.285s, Loss 6.0179
current_time: 2026-05-15 01:22:45.339320,total_time: 1:44:37.917737, Epoch 560,epoch_time: 11.106s, Loss 6.1004
current_time: 2026-05-15 01:24:31.673911,total_time: 1:46:24.252328, Epoch 570,epoch_time: 12.095s, Loss 5.9406
current_time: 2026-05-15 01:26:00.024815,total_time: 1:47:52.603232, Epoch 580,epoch_time: 3.933s, Loss 6.1457
current_time: 2026-05-15 01:27:41.769917,total_time: 1:49:34.348334, Epoch 590,epoch_time: 10.524s, Loss 6.1529
current_time: 2026-05-15 01:29:02.902799,total_time: 1:50:55.481216, Epoch 600,epoch_time: 8.765s, Loss 6.2896
current_time: 2026-05-15 01:30:39.984671,total_time: 1:52:32.563088, Epoch 610,epoch_time: 9.163s, Loss 5.9920
current_time: 2026-05-15 01:32:27.661514,total_time: 1:54:20.239931, Epoch 620,epoch_time: 12.083s, Loss 6.1361
current_time: 2026-05-15 01:34:10.887290,total_time: 1:56:03.465707, Epoch 630,epoch_time: 12.446s, Loss 6.0649
current_time: 2026-05-15 01:35:49.813930,total_time: 1:57:42.392347, Epoch 640,epoch_time: 11.517s, Loss 6.2473
current_time: 2026-05-15 01:37:12.723854,total_time: 1:59:05.302271, Epoch 650,epoch_time: 8.770s, Loss 6.6958
current_time: 2026-05-15 01:39:05.113423,total_time: 2:00:57.691840, Epoch 660,epoch_time: 11.825s, Loss 5.9813
current_time: 2026-05-15 01:40:44.159344,total_time: 2:02:36.737761, Epoch 670,epoch_time: 15.287s, Loss 6.7784
current_time: 2026-05-15 01:42:11.673878,total_time: 2:04:04.252295, Epoch 680,epoch_time: 2.568s, Loss 6.6385
current_time: 2026-05-15 01:43:31.566560,total_time: 2:05:24.144977, Epoch 690,epoch_time: 7.582s, Loss 6.3444
current_time: 2026-05-15 01:45:15.928899,total_time: 2:07:08.507316, Epoch 700,epoch_time: 12.900s, Loss 6.3692
current_time: 2026-05-15 01:46:53.174416,total_time: 2:08:45.752833, Epoch 710,epoch_time: 8.282s, Loss 6.2703
current_time: 2026-05-15 01:48:37.135114,total_time: 2:10:29.713531, Epoch 720,epoch_time: 13.232s, Loss 6.2593
current_time: 2026-05-15 01:50:06.936690,total_time: 2:11:59.515107, Epoch 730,epoch_time: 11.364s, Loss 6.4268
current_time: 2026-05-15 01:51:38.237291,total_time: 2:13:30.815708, Epoch 740,epoch_time: 6.957s, Loss 6.1411
current_time: 2026-05-15 01:53:12.050981,total_time: 2:15:04.629398, Epoch 750,epoch_time: 11.888s, Loss 6.2480
current_time: 2026-05-15 01:54:43.110395,total_time: 2:16:35.688812, Epoch 760,epoch_time: 8.389s, Loss 6.2434
current_time: 2026-05-15 01:56:17.123296,total_time: 2:18:09.701713, Epoch 770,epoch_time: 10.527s, Loss 6.6465
current_time: 2026-05-15 01:57:47.940592,total_time: 2:19:40.519009, Epoch 780,epoch_time: 10.716s, Loss 6.3072
current_time: 2026-05-15 01:59:38.306256,total_time: 2:21:30.884673, Epoch 790,epoch_time: 6.774s, Loss 6.2724
current_time: 2026-05-15 02:01:21.039427,total_time: 2:23:13.617844, Epoch 800,epoch_time: 10.271s, Loss 6.5627
current_time: 2026-05-15 02:02:55.103778,total_time: 2:24:47.682195, Epoch 810,epoch_time: 5.556s, Loss 5.9549
current_time: 2026-05-15 02:04:39.884838,total_time: 2:26:32.463255, Epoch 820,epoch_time: 5.444s, Loss 6.7355
current_time: 2026-05-15 02:06:21.631814,total_time: 2:28:14.210231, Epoch 830,epoch_time: 8.686s, Loss 6.1037
current_time: 2026-05-15 02:08:03.168647,total_time: 2:29:55.747064, Epoch 840,epoch_time: 14.224s, Loss 6.0921
current_time: 2026-05-15 02:09:23.694782,total_time: 2:31:16.273199, Epoch 850,epoch_time: 10.172s, Loss 6.0257
current_time: 2026-05-15 02:10:48.371269,total_time: 2:32:40.949686, Epoch 860,epoch_time: 5.306s, Loss 6.4770
current_time: 2026-05-15 02:12:21.084355,total_time: 2:34:13.662772, Epoch 870,epoch_time: 9.594s, Loss 6.5230
current_time: 2026-05-15 02:13:49.288642,total_time: 2:35:41.867059, Epoch 880,epoch_time: 8.042s, Loss 6.4331
current_time: 2026-05-15 02:15:34.723761,total_time: 2:37:27.302178, Epoch 890,epoch_time: 9.898s, Loss 5.7386
current_time: 2026-05-15 02:17:19.955642,total_time: 2:39:12.534059, Epoch 900,epoch_time: 10.091s, Loss 6.7712
current_time: 2026-05-15 02:18:46.696395,total_time: 2:40:39.274812, Epoch 910,epoch_time: 8.930s, Loss 6.2915
current_time: 2026-05-15 02:20:13.354477,total_time: 2:42:05.932894, Epoch 920,epoch_time: 7.363s, Loss 6.0255
current_time: 2026-05-15 02:21:49.833502,total_time: 2:43:42.411919, Epoch 930,epoch_time: 12.239s, Loss 6.2791
current_time: 2026-05-15 02:23:10.973306,total_time: 2:45:03.551723, Epoch 940,epoch_time: 8.619s, Loss 6.5093
current_time: 2026-05-15 02:24:49.162552,total_time: 2:46:41.740969, Epoch 950,epoch_time: 6.672s, Loss 6.1810
current_time: 2026-05-15 02:26:09.358698,total_time: 2:48:01.937115, Epoch 960,epoch_time: 5.282s, Loss 6.7194
current_time: 2026-05-15 02:27:33.767113,total_time: 2:49:26.345530, Epoch 970,epoch_time: 7.662s, Loss 6.0712
current_time: 2026-05-15 02:29:12.049761,total_time: 2:51:04.628178, Epoch 980,epoch_time: 9.270s, Loss 6.0278
current_time: 2026-05-15 02:30:38.357844,total_time: 2:52:30.936261, Epoch 990,epoch_time: 8.803s, Loss 6.1049
current_time: 2026-05-15 02:32:19.606340,total_time: 2:54:12.184757, Epoch 1000,epoch_time: 6.185s, Loss 6.2085
